PLAYER,CAP HIT,player_id
Filip Lindberg,925000,lindbfi01
Brandon Scanlin,925000,scanlbr01
Wyatt Aamodt,925000,aamodwy01
Curtis Hall,925000,hallcu01
Jack Drury,925000,druryja01
Jesper Wallstedt,925000,wallsje01
Isak Rosén,925000,rosénis01
Trevor Zegras,925000,zegratr01
Dylan Samberg,925000,sambedy01
Ian Mitchell,925000,mitchia01
Braden Schneider,925000,schnebr01
Mads Søgaard,925000,søgaama01
Cole Sillinger,925000,sillico01
Kent Johnson,925000,johnske01
Brendan Brisson,925000,brissbr01
Yaroslav Askarov,925000,askarya01
Cameron Crotty,925000,crottca01
Jacob Bernard-Docker,925000,bernaja01
Yegor Chinakhov,925000,chinaye01
Rodion Amirov,925000,amiroro01
Matej Blümel,925000,blümema01
Bryce Kindopp,925000,kindobr01
Morgan Barron,925000,barromo01
Pavel Dorofeyev,925000,dorofpa01
Shane Pinto,925000,pintosh01
Lucas Raymond,925000,raymolu01
Justin Barron,925000,barroju01
Nils Lundkvist,925000,lundkni01
Corey Andonovski,925000,andonco01
Carter Savoie,925000,savoica01
Filip Roos,925000,roosfi01
Xavier Bourgault,925000,bourgxa01
Jacob Christiansen,925000,chrisja01
Tyler Madden,925000,maddety01
Reilly Walsh,925000,walshre01
Alexis Lafrenière,925000,lafreal01
Anton Lundell,925000,lundean01
Spencer Stastney,925000,stastsp01
Kirill Marchenko,925000,marchki01
Luca Del Bel Belluz,923333,dellu01
Jordan Dumais,923333,dumaijo01
Chase Pearson,917831,pearsch01
Alex Vlasic,916667,vlasial01
Owen Beck,916667,beckow01
Owen Power,916667,powerow01
Thomas Bordeleau,916667,bordeth01
Connor Mackey,912500,mackeco01
Ben Meyers,912500,meyerbe01
Alex Newhook,908333,newhoal01
Mathias Emilio Pettersen,903333,emilima01
William Borgen,900000,borgewi01
Emil Bemström,900000,bemstem01
Nick Bjugstad,900000,bjugsni01
David Rittich,900000,rittida01
Logan Stanley,900000,stanllo01
Mark Borowiecki,900000,borowma01
Josh Archibald,900000,archijo01
Erik Brännström,900000,bränner01
Jarred Tinordi,900000,tinorja01
Brian Elliott,900000,elliobr01
Wayne Simmonds,900000,simmowa01
Emil Heineman,897500,heineem01
Ryker Evans,897500,evansry01
Mikael Pyyhtiä,897500,pyyhtmi01
Ilya Usau,897500,usauil01
Logan Mailloux,897500,mailllo01
Layton Ahac,897500,ahacla01
Mack Guzda,897500,guzdama01
Matthew Beniers,897500,beniema01
Alexander Holtz,894167,holtzal01
Oliver Wahlstrom,894167,wahlsol01
Bowen Byram,894167,byrambo01
Arthur Kaliyev,894167,kaliyar01
Cole Perfetti,894167,perfeco01
Fabian Lysell,894167,lyselfa01
Mason McTavish,894167,mctavma01
Shakir Mukhamadullin,894167,mukhash01
Alex Turcotte,894167,turcoal01
Roby Järventie,894167,järvero01
Brandt Clarke,894167,clarkbr01
Adam Beckman,894167,beckmad01
Chase Stillman,894167,stillch01
Wyatt Johnston,894167,johnswy01
Serron Noel,894167,noelse01
Dawson Mercer,894167,merceda01
Mavrik Bourque,894167,bourqma01
Zachary L'Heureux,894167,l'heuza01
Brennan Othmann,894167,othmabr01
William Eklund,894167,eklunwi01
Zachary Bolduc,894167,bolduza01
Quinton Byfield,894167,byfiequ01
Seth Jarvis,894167,jarvise01
Sebastian Cossa,894167,cossase01
Carson Lambos,894167,lamboca01
Dylan Guenther,894167,guentdy01
Joseph Veleno,894167,velenjo01
Tobias Björnfot,894167,björnto01
Oskar Olausson,894167,olausos01
Tyler Boucher,894167,bouchty01
Dylan Cozens,894167,cozendy01
Nils Höglander,891667,höglani01
Cayden Primeau,890000,primeca01
J.J. Moser,886667,moserj.01
Evan Nause,886667,nauseev01
Ville Petman,883750,petmavi01
Michael Callahan,883750,callami01
Blake McLaughlin,883750,mclaubl01
Linus Karlsson,883750,karlsli01
